0|-14617,-11489,3553,4726,660,3998,1256,10253,8561,-5284
1|234,0,0,0
0|-14258,-18330,1483,2498,-1544,3814,60,-6374,12909,-4347
1|215,0,0,0
0|-14279,-17079,-252,-7363,-1895,2536,-288,-9555,-3094,-571
1|78,0,0,0
0|-14554,-15681,-65,772,-2001,2144,619,1073,-2232,-877
1|88,0,0,0
0|-14321,-16031,-323,2491,-1991,2088,692,-920,-3277,430
1|17,0,0,0
0|-14258,-16576,1045,6039,-1527,2158,1223,1757,-6369,2054
1|299,0,0,0
0|-14385,-10796,3886,2997,-688,2362,1118,12793,-882,-1399
1|154,0,0,0
0|-14734,-19117,4085,4875,-1565,1837,-448,-7921,17110,-6657
1|92,0,0,0
0|-14718,-14942,920,674,-636,1505,-435,-5691,-4839,933
1|108,0,0,0
0|-14586,-16798,950,1269,-197,1535,234,-431,-2214,-1527
